,y,ds
882,5175.429,2020-06-02
883,5633.5608,2020-06-03
884,5785.8192,2020-06-04
885,5636.4336,2020-06-05
886,6222.4848,2020-06-06
887,5634.754448,2020-06-07
888,5730.587226,2020-06-08
889,5761.56,2020-06-09
890,6214.965379,2020-06-10
891,5952.4416,2020-06-11
892,5766.9066,2020-06-12
893,5167.05,2020-06-13
894,5678.169,2020-06-14
895,6005.5884,2020-06-15
896,5496.0388,2020-06-16
897,6403.152,2020-06-17
898,5597.2917,2020-06-18
899,5356.3356,2020-06-19
900,5156.350368,2020-06-20
901,5410.875841,2020-06-21
902,5762.8368,2020-06-22
903,6084.351,2020-06-23
904,4974.2,2020-06-24
905,5770.0188,2020-06-25
906,5936.038847,2020-06-26
907,5438.172734,2020-06-27
908,5616.3373,2020-06-28
909,4876.179,2020-06-29
910,5375.4876,2020-06-30
911,5302.434956,2020-07-01
912,5761.29952,2020-07-02
913,6228.0176,2020-07-03
914,6114.8346,2020-07-04
915,5382.948328,2020-07-05
916,6137.525331,2020-07-06
917,8147.7396,2020-07-07
918,6289.37848,2020-07-08
919,6136.64128,2020-07-09
920,6295.34752,2020-07-10
921,5261.579431,2020-07-11
922,6043.911286,2020-07-12
923,5076.8494,2020-07-13
924,4298.56,2020-07-14
925,5278.2912,2020-07-15
926,6026.9216,2020-07-16
927,6059.4534,2020-07-17
928,4472.809518,2020-07-18
929,5434.4864,2020-07-19
930,6553.8144,2020-07-20
931,4644.9984,2020-07-21
932,6109.488,2020-07-22
933,5416.4516,2020-07-23
934,5914.776,2020-07-24
935,5816.4225,2020-07-25
936,6859.2888,2020-07-26
937,6276.1104,2020-07-27
938,5790.0486,2020-07-28
939,5736.04466,2020-07-29
940,6382.710166,2020-07-30
941,6240.36,2020-07-31
942,6359.661,2020-08-01
943,5560.2512,2020-08-02
944,6320.16,2020-08-03
945,6097.119,2020-08-04
946,5635.476,2020-08-05
947,5943.504,2020-08-06
948,6165.0288,2020-08-07
949,5443.2378,2020-08-08
950,5308.9344,2020-08-09
951,5973.1098,2020-08-10
952,5671.9446,2020-08-11
953,5921.2664,2020-08-12
954,5148.297,2020-08-13
955,4978.0038,2020-08-14
956,5298.581962,2020-08-15
957,5864.8478,2020-08-16
958,5609.94,2020-08-17
959,5075.28,2020-08-18
960,5479.866,2020-08-19
961,5507.796,2020-08-20
962,5447.6268,2020-08-21
963,5626.8576,2020-08-22
964,5323.2984,2020-08-23
965,6435.072,2020-08-24
966,6394.8395,2020-08-25
967,6542.665382,2020-08-26
968,6148.7895,2020-08-27
969,5079.1104,2020-08-28
970,6438.4236,2020-08-29
971,5589.192,2020-08-30
