,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
45,2018-02-15,3076.1791545537963,1253.234354381672,4370.461733720425,3076.1791545537963,3076.1791545537963,-266.8430035150989,-266.8430035150989,-266.8430035150989,462.59191623570547,462.59191623570547,462.59191623570547,22.468361364186073,22.468361364186073,22.468361364186073,-751.9032811149905,-751.9032811149905,-751.9032811149905,0.0,0.0,0.0,2809.336151038697
46,2018-02-16,3076.979387940824,1164.959947280409,4428.976648426777,3076.979387940824,3076.979387940824,-321.94071936708787,-321.94071936708787,-321.94071936708787,462.59191623570547,462.59191623570547,462.59191623570547,-34.59503457630045,-34.59503457630045,-34.59503457630045,-749.9376010264929,-749.9376010264929,-749.9376010264929,0.0,0.0,0.0,2755.0386685737362
47,2018-02-17,3077.779621327851,1282.474355598055,4308.210226344419,3077.779621327851,3077.779621327851,-301.3467026488492,-301.3467026488492,-301.3467026488492,462.59191623570547,462.59191623570547,462.59191623570547,-14.02690061761342,-14.02690061761342,-14.02690061761342,-749.9117182669412,-749.9117182669412,-749.9117182669412,0.0,0.0,0.0,2776.432918679002
48,2018-02-18,3078.579854714879,1154.7515423035081,4467.746953094561,3078.579854714879,3078.579854714879,-264.3438449961715,-264.3438449961715,-264.3438449961715,462.59191623570547,462.59191623570547,462.59191623570547,25.161350794854464,25.161350794854464,25.161350794854464,-752.0971120267315,-752.0971120267315,-752.0971120267315,0.0,0.0,0.0,2814.2360097187075
49,2018-02-19,3079.3800881019065,1246.5524519815729,4364.554577087448,3079.3800881019065,3079.3800881019065,-277.47282922596537,-277.47282922596537,-277.47282922596537,462.59191623570547,462.59191623570547,462.59191623570547,16.64672438285886,16.64672438285886,16.64672438285886,-756.7114698445297,-756.7114698445297,-756.7114698445297,0.0,0.0,0.0,2801.907258875941
50,2018-02-20,3080.1803214889337,1246.608201532909,4374.972017611956,3080.1803214889337,3080.1803214889337,-312.5781778181491,-312.5781778181491,-312.5781778181491,462.59191623570547,462.59191623570547,462.59191623570547,-11.260909337729036,-11.260909337729036,-11.260909337729036,-763.9091847161255,-763.9091847161255,-763.9091847161255,0.0,0.0,0.0,2767.6021436707847
51,2018-02-21,3080.9805548759614,1203.7617232921596,4351.327551525827,3080.9805548759614,3080.9805548759614,-315.57533814618967,-315.57533814618967,-315.57533814618967,462.59191623570547,462.59191623570547,462.59191623570547,-4.393592010096508,-4.393592010096508,-4.393592010096508,-773.7736623717987,-773.7736623717987,-773.7736623717987,0.0,0.0,0.0,2765.405216729772
52,2018-02-22,3081.7807882629886,1257.92574195281,4248.456492239306,3081.7807882629886,3081.7807882629886,-301.2514527071749,-301.2514527071749,-301.2514527071749,462.59191623570547,462.59191623570547,462.59191623570547,22.468361364169883,22.468361364169883,22.468361364169883,-786.3117303070503,-786.3117303070503,-786.3117303070503,0.0,0.0,0.0,2780.5293355558138
53,2018-02-23,3082.581021650016,1102.3384096994607,4292.728382780339,3082.581021650016,3082.581021650016,-373.4534980344706,-373.4534980344706,-373.4534980344706,462.59191623570547,462.59191623570547,462.59191623570547,-34.59503457634345,-34.59503457634345,-34.59503457634345,-801.4503796938326,-801.4503796938326,-801.4503796938326,0.0,0.0,0.0,2709.127523615545
54,2018-02-24,3083.3812550370435,1156.1239209305436,4309.5831960476835,3083.3812550370435,3083.3812550370435,-370.47098690014076,-370.47098690014076,-370.47098690014076,462.59191623570547,462.59191623570547,462.59191623570547,-14.02690061759252,-14.02690061759252,-14.02690061759252,-819.0360025182537,-819.0360025182537,-819.0360025182537,0.0,0.0,0.0,2712.9102681369027
55,2018-02-25,3084.1814884240707,1151.9244943380597,4343.179278555289,3084.1814884240707,3084.1814884240707,-351.0829441561199,-351.0829441561199,-351.0829441561199,462.59191623570547,462.59191623570547,462.59191623570547,25.16135079476589,25.16135079476589,25.16135079476589,-838.8362111865913,-838.8362111865913,-838.8362111865913,0.0,0.0,0.0,2733.0985442679507
56,2018-02-26,3084.9817218110984,1034.5601987342184,4296.565200132474,3084.9817218110984,3084.9817218110984,-381.3056080036102,-381.3056080036102,-381.3056080036102,462.59191623570547,462.59191623570547,462.59191623570547,16.646724382812828,16.646724382812828,16.646724382812828,-860.5442486221284,-860.5442486221284,-860.5442486221284,0.0,0.0,0.0,2703.676113807488
57,2018-02-27,3085.781955198126,1052.7385558187475,4228.42249314743,3085.781955198126,3085.781955198126,-432.4549089919908,-432.4549089919908,-432.4549089919908,462.59191623570547,462.59191623570547,462.59191623570547,-11.260909337722742,-11.260909337722742,-11.260909337722742,-883.7859158899735,-883.7859158899735,-883.7859158899735,0.0,0.0,0.0,2653.3270462061355
58,2018-02-28,3086.5821885851533,1075.8415703601252,4169.195257862581,3086.5821885851533,3086.5821885851533,-449.9305398736953,-449.9305398736953,-449.9305398736953,462.59191623570547,462.59191623570547,462.59191623570547,-4.393592010079604,-4.393592010079604,-4.393592010079604,-908.1288640993212,-908.1288640993212,-908.1288640993212,0.0,0.0,0.0,2636.651648711458
59,2018-03-01,3087.382421972181,1126.450466392867,4324.514241104489,3087.382421972181,3087.382421972181,-448.0337425942396,-448.0337425942396,-448.0337425942396,462.59191623570547,462.59191623570547,462.59191623570547,22.46836136419623,22.46836136419623,22.46836136419623,-933.0940201941413,-933.0940201941413,-933.0940201941413,0.0,0.0,0.0,2639.348679377941
60,2018-03-02,3088.1826553592086,898.6778682752104,4071.5744724670813,3088.1826553592086,3088.1826553592086,-530.1719629936864,-530.1719629936864,-530.1719629936864,462.59191623570547,462.59191623570547,462.59191623570547,-34.595034576271125,-34.595034576271125,-34.595034576271125,-958.1688446531207,-958.1688446531207,-958.1688446531207,0.0,0.0,0.0,2558.010692365522
61,2018-03-03,3088.9828887462354,935.1408357406118,4139.674504987925,3088.9828887462354,3088.9828887462354,-534.2570397354848,-534.2570397354848,-534.2570397354848,462.59191623570547,462.59191623570547,462.59191623570547,-14.02690061761072,-14.02690061761072,-14.02690061761072,-982.8220553535796,-982.8220553535796,-982.8220553535796,0.0,0.0,0.0,2554.7258490107506
62,2018-03-04,3089.783122133263,1041.884281115842,4169.018800157278,3089.783122133263,3089.783122133263,-518.7661309312601,-518.7661309312601,-518.7661309312601,462.59191623570547,462.59191623570547,462.59191623570547,25.16135079486733,25.16135079486733,25.16135079486733,-1006.519397961833,-1006.519397961833,-1006.519397961833,0.0,0.0,0.0,2571.016991202003
63,2018-03-05,3090.5833555202908,1102.5944288449007,4117.498300423481,3090.5833555202908,3090.5833555202908,-549.5013603830383,-549.5013603830383,-549.5013603830383,462.59191623570547,462.59191623570547,462.59191623570547,16.64672438276679,16.64672438276679,16.64672438276679,-1028.7400010015106,-1028.7400010015106,-1028.7400010015106,0.0,0.0,0.0,2541.0819951372523
64,2018-03-06,3091.383588907318,898.0544234550594,4080.0156614960624,3091.383588907318,3091.383588907318,-597.6618177888039,-597.6618177888039,-597.6618177888039,462.59191623570547,462.59191623570547,462.59191623570547,-11.260909337716445,-11.260909337716445,-11.260909337716445,-1048.992824686793,-1048.992824686793,-1048.992824686793,0.0,0.0,0.0,2493.721771118514
65,2018-03-07,3092.1838222943456,706.6399284555835,4071.909325322054,3092.1838222943456,3092.1838222943456,-608.6343735613742,-608.6343735613742,-608.6343735613742,462.59191623570547,462.59191623570547,462.59191623570547,-4.3935920100626955,-4.3935920100626955,-4.3935920100626955,-1066.832697787017,-1066.832697787017,-1066.832697787017,0.0,0.0,0.0,2483.5494487329715
66,2018-03-08,3092.9840556813733,875.0335256551895,4191.255036019094,3092.9840556813733,3092.9840556813733,-596.8151593124176,-596.8151593124176,-596.8151593124176,462.59191623570547,462.59191623570547,462.59191623570547,22.46836136422258,22.46836136422258,22.46836136422258,-1081.8754369123455,-1081.8754369123455,-1081.8754369123455,0.0,0.0,0.0,2496.1688963689558
67,2018-03-09,3093.7842890684005,930.8161710709754,4031.062738608546,3093.7842890684005,3093.7842890684005,-665.8146762566107,-665.8146762566107,-665.8146762566107,462.59191623570547,462.59191623570547,462.59191623570547,-34.595034576314134,-34.595034576314134,-34.595034576314134,-1093.8115579160021,-1093.8115579160021,-1093.8115579160021,0.0,0.0,0.0,2427.96961281179
